pulocationid,dolocationid,tmode,duration,price,w10000,w15000,w25000,w35000,w50000,w75000,w100000,w125000,w150000,w200000
143,48,3,11.18986963,7.502131147999999,23,46,23,23,92,69,46,184,184,322
143,48,2,24.0,2.75,46,92,69,46,115,483,483,782,1081,989
143,48,8,10.48425845,20.73075071,23,46,46,92,23,276,184,414,414,483
143,50,2,18.0,2.75,115,23,46,0,0,115,322,299,161,460
143,50,5,18.83333333,0.0,276,115,92,46,23,253,506,621,529,1196
143,55,2,84.0,5.5,0,92,69,69,0,115,92,46,0,0
143,61,2,65.0,2.75,0,0,0,0,0,0,0,0,0,46
143,65,8,35.43442177,9.879442124,0,0,0,0,0,0,0,0,0,0
143,66,3,48.34230769,30.90659341,0,0,0,0,23,0,23,46,0,0
143,66,2,41.0,5.5,230,0,0,0,253,782,322,2116,1081,529
143,68,8,15.71085961,21.38466163,46,0,23,0,23,0,92,69,46,69
143,70,2,62.0,8.25,23,115,161,115,0,230,299,230,253,92
143,71,3,52.9875,45.75,0,0,0,0,0,0,46,46,0,23
143,71,2,80.0,2.75,184,322,345,460,322,1265,1541,1265,667,506
143,72,3,60.28333333,47.83333333,0,23,23,23,23,23,0,23,0,0
143,72,2,78.0,5.5,230,391,391,414,368,1127,1472,690,805,506
143,74,2,39.0,5.5,23,0,0,0,0,0,0,0,0,0
143,75,5,85.93333333,0.0,0,0,0,0,0,0,0,0,0,0
143,75,8,18.24906221,6.842655741000001,0,0,0,0,0,69,0,46,0,0
143,75,2,36.0,5.5,23,0,0,23,0,92,23,46,46,69
143,79,8,28.579554499999997,22.88158445,0,0,23,23,0,0,0,23,0,0
143,79,2,39.0,5.5,0,92,253,46,23,46,92,92,69,92
143,79,3,29.39400776,19.54294032,0,0,138,0,0,0,23,23,0,0
143,81,8,32.63022031,14.272379999999998,0,0,92,46,23,69,0,23,0,46
143,81,2,67.0,8.25,161,184,230,184,207,621,1104,506,575,483
143,85,2,69.0,2.75,184,161,253,299,138,460,713,529,161,138
143,85,3,53.3111399,37.94300518,0,0,0,0,0,0,0,0,0,0
