w_zip,h_zip,total,initialFeat,true_label
11218,10025,46,3.0,3
11218,10026,67,3.0,3
11218,10027,78,3.0,3
11218,10028,13,3.0,3
11218,10029,96,3.0,3
11218,10030,34,3.0,3
11218,10031,71,3.0,3
11218,10032,88,3.0,3
11218,10033,54,3.0,3
11218,10034,61,3.0,3
11218,10035,38,3.0,3
11218,10036,4,3.0,3
11218,10037,27,3.0,3
11218,10038,19,3.0,3
11218,10039,44,3.0,3
11218,10040,36,3.0,3
11218,10044,4,3.0,3
11218,10065,7,3.0,3
11218,10069,2,3.0,3
11218,10075,6,3.0,3
11218,10128,20,3.0,3
11218,10280,4,3.0,3
11218,10282,2,3.0,3
11218,10301,61,3.0,3
11218,10302,25,3.0,3
11218,10303,47,3.0,3
11218,10304,73,3.0,3
11218,10305,100,3.0,3
11218,10306,93,3.0,3
11218,10307,23,3.0,3
11218,10308,32,3.0,3
11218,10309,35,3.0,3
11218,10310,32,3.0,3
11218,10312,65,3.0,3
11218,10314,152,3.0,3
11218,10451,74,3.0,3
11218,10452,157,3.0,3
11218,10453,166,3.0,3
11218,10454,51,3.0,3
11218,10455,64,3.0,3
11218,10456,169,3.0,3
11218,10457,164,3.0,3
11218,10458,140,3.0,3
11218,10459,75,3.0,3
11218,10460,93,3.0,3
11218,10461,40,3.0,3
11218,10462,91,3.0,3
11218,10463,66,3.0,3
11218,10464,6,3.0,3
11218,10465,35,3.0,3
11218,10466,110,3.0,3
11218,10467,131,3.0,3
11218,10468,110,3.0,3
11218,10469,80,3.0,3
11218,10470,24,3.0,3
11218,10471,22,3.0,3
11218,10472,87,3.0,3
11218,10473,68,3.0,3
11218,10474,19,3.0,3
11218,10475,40,3.0,3
11218,11001,10,3.0,3
11218,11004,8,3.0,3
11218,11101,23,3.0,3
11218,11102,22,3.0,3
11218,11103,13,3.0,3
11218,11104,15,3.0,3
11218,11105,13,3.0,3
11218,11106,22,3.0,3
11218,11109,5,3.0,3
11218,11201,94,3.0,3
11218,11203,472,3.0,3
11218,11204,1016,3.0,3
11218,11205,115,3.0,3
11218,11206,180,3.0,3
11218,11207,226,3.0,3
11218,11208,215,3.0,3
11218,11209,204,3.0,3
11218,11210,697,3.0,3
11218,11211,185,3.0,3
11218,11212,283,3.0,3
11218,11213,404,3.0,3
11218,11214,434,3.0,3
11218,11215,150,3.0,3
11218,11216,137,3.0,3
11218,11217,66,3.0,3
11218,11218,1815,3.0,3
11218,11219,1710,3.0,3
11218,11220,421,3.0,3
11218,11221,166,3.0,3
11218,11222,81,3.0,3
11218,11223,409,3.0,3
11218,11224,248,3.0,3
11218,11225,286,3.0,3
11218,11226,830,3.0,3
11218,11228,160,3.0,3
11218,11229,494,3.0,3
11218,11230,1251,3.0,3
11218,11231,72,3.0,3
11218,11232,128,3.0,3
11218,11233,193,3.0,3
11218,11234,539,3.0,3
11218,11235,388,3.0,3
11218,11236,471,3.0,3
11218,11237,67,3.0,3
11218,11238,100,3.0,3
11218,11239,35,3.0,3
11218,11354,38,3.0,3
11218,11355,36,3.0,3
11218,11356,18,3.0,3
11218,11357,16,3.0,3
11218,11358,9,3.0,3
11218,11360,13,3.0,3
11218,11361,7,3.0,3
11218,11362,4,3.0,3
11218,11363,1,3.0,3
11218,11364,10,3.0,3
11218,11365,57,3.0,3
11218,11366,19,3.0,3
11218,11367,61,3.0,3
11218,11368,79,3.0,3
11218,11369,23,3.0,3
11218,11370,39,3.0,3
11218,11372,46,3.0,3
11218,11373,80,3.0,3
11218,11374,47,3.0,3
11218,11375,72,3.0,3
11218,11377,71,3.0,3
11218,11378,36,3.0,3
11218,11379,28,3.0,3
11218,11385,108,3.0,3
11218,11411,29,3.0,3
11218,11412,47,3.0,3
11218,11413,41,3.0,3
11218,11414,27,3.0,3
11218,11415,24,3.0,3
11218,11416,33,3.0,3
11218,11417,39,3.0,3
11218,11418,36,3.0,3
11218,11419,63,3.0,3
11218,11420,59,3.0,3
11218,11421,44,3.0,3
11218,11422,26,3.0,3
11218,11423,45,3.0,3
11218,11426,19,3.0,3
11218,11427,29,3.0,3
11218,11428,26,3.0,3
11218,11429,38,3.0,3
11218,11432,90,3.0,3
11218,11433,39,3.0,3
